Date,Transaction type,Order ID,SKU,QTY,Product Details,Total product charges,Total promotional rebates,Amazon fees,Other,Total (USD),SKU,QTY,
1/1/2021,Service Fees,---,,,Inbound Transportation Charge,0,0,-8.85,0,-8.85,,,
1/4/2021,Paid to Amazon | Seller repayment,---,,,---,0,0,0,159.09,159.09,,,
1/7/2021,Service Fees,---,,,Inbound Transportation Charge,0,0,-31.74,0,-31.74,,,
1/8/2021,Service Fees,---,,,FBA Inventory Storage Fee,0,0,-9.76,0,-9.76,,,
1/9/2021,Order Payment,112-7454857-9012257,,,Free People Womens Ribbed Trim Button Fr...,32.38,0,-19.86,7.65,20.17,194374170121,1 ,
1/10/2021,Order Payment,111-2132579-4994639,,,Free People Bright Side Thermal TOP (Mos...,34.95,0,-9.64,0,25.31,194374051758,1 ,
1/11/2021,Order Payment,113-7322533-1597840,,,DYMO Label Maker with 2 D1 DYMO Label Ta...,36.3,0,-10.35,0,25.95,71701003591,1 ,
1/11/2021,Order Payment,111-9268030-9180248,,,DYMO Label Maker with 2 D1 DYMO Label Ta...,36.3,0,-10.35,0,25.95,71701003591,1 ,
1/11/2021,Order Payment,113-4792056-8340269,,,DYMO Label Maker with 2 D1 DYMO Label Ta...,36.3,0,-10.35,0,25.95,71701003591,1 ,
1/11/2021,Order Payment,114-8331481-3819420,,,DYMO Label Maker with 2 D1 DYMO Label Ta...,36.3,0,-10.35,0,25.95,71701003591,1 ,
1/11/2021,Order Payment,114-8375680-2379440,,,DYMO Label Maker with 2 D1 DYMO Label Ta...,36.3,0,-10.35,0,25.95,71701003591,1 ,
1/11/2021,Order Payment,112-8339446-3699425,,,DYMO Label Maker with 2 D1 DYMO Label Ta...,36.3,0,-10.35,0,25.95,71701003591,1 ,
1/11/2021,Order Payment,114-0189928-6317838,,,DYMO Label Maker with 2 D1 DYMO Label Ta...,36.3,-2.99,-10.35,2.99,25.95,71701003591,1 ,
1/12/2021,Order Payment,111-8459799-1301865,,,DYMO Label Maker with 2 D1 DYMO Label Ta...,36.3,0,-10.35,0,25.95,71701003591,1 ,
1/12/2021,Order Payment,113-7145614-7624229,,,DYMO Label Maker with 2 D1 DYMO Label Ta...,36.3,0,-10.35,0,25.95,71701003591,1 ,
1/12/2021,Order Payment,114-2859363-6995420,,,DYMO Label Maker with 2 D1 DYMO Label Ta...,36.3,0,-10.35,0,25.95,71701003591,1 ,
1/12/2021,Order Payment,112-9719770-7435422,,,Free People Lennox Jumpsuit Blue MD (Wom...,148,0,-31.49,0,116.51,194374013404,1 ,
1/12/2021,Order Payment,113-9295005-1391423,,,DYMO Label Maker with 2 D1 DYMO Label Ta...,36.3,0,-10.35,0,25.95,71701003591,1 ,
1/12/2021,Order Payment,111-0000591-5224275,,,Free People Ivy Mid Rise Released Hem Sk...,45.39,0,-13.07,0,32.32,194374274324,1 ,
1/12/2021,Order Payment,114-9561102-9247466,,,DYMO Label Maker with 2 D1 DYMO Label Ta...,36.3,0,-10.35,0,25.95,71701003591,1 ,
1/13/2021,Order Payment,112-7104003-9079439,,,Ideology Women's Snap-Front Wrap Sweatsh...,17.46,0,-8.32,0,9.14,732998411840,1 ,
1/13/2021,Order Payment,114-9659165-6042644,,,DYMO Label Maker with 2 D1 DYMO Label Ta...,36.3,0,-10.35,0,25.95,71701003591,1 ,
1/13/2021,Order Payment,112-1975902-2797833,,,"Free People Women's Adella Slip Dress, W...",72.06,0,-15.36,0,56.7,193465187376,1 ,
1/14/2021,Order Payment,113-1902251-6008217,,,Free People One of The Girls Henley Grey...,24.99,0,-7.95,0,17.04,194374062754,1 ,
1/14/2021,Order Payment,114-4431357-0417832,,,FREE PEOPLE Winter Hat Everything Rosy B...,18.95,0,-6.92,0,12.03,193465983916,1 ,
1/14/2021,Order Payment,111-3659745-6910615,,,DYMO Label Maker with 2 D1 DYMO Label Ta...,36.3,0,-10.35,0,25.95,71701003591,1 ,
1/15/2021,Service Fees,---,,,FBA Prep Fee: Polybagging,0,0,-21,0,-21,,,
1/16/2021,Order Payment,114-3515372-0226633,,,DYMO Label Maker with 2 D1 DYMO Label Ta...,36.2,0,-10.33,0,25.87,71701003591,1 ,
1/16/2021,Order Payment,111-6882969-1876257,,,Free People Women's Easy Street Tunic Sw...,128,0,-28.47,0,99.53,193465687531,1 ,
1/17/2021,Service Fees,---,,,Inbound Transportation Charge,0,0,-6.96,0,-6.96,,,
1/17/2021,Service Fees,---,,,Inbound Transportation Charge,0,0,-5.66,0,-5.66,,,
1/17/2021,Service Fees,---,,,Inbound Transportation Charge,0,0,-6.96,0,-6.96,,,
1/17/2021,Service Fees,---,,,Inbound Transportation Charge,0,0,-16.17,0,-16.17,,,
1/17/2021,Service Fees,---,,,Inbound Transportation Charge,0,0,-8.1,0,-8.1,,,
1/17/2021,Service Fees,---,,,Inbound Transportation Charge,0,0,-6.96,0,-6.96,,,
1/17/2021,Service Fees,---,,,Inbound Transportation Charge,0,0,-8.87,0,-8.87,,,
1/18/2021,Unavailable balance,---,,,Current Reserve Amount ,0,0,0,-655.74,-655.74,,,
1/18/2021,Order Payment,112-5598258-2998628,,,Free People Southport Oversized Beach Ca...,32.64,0,-12.26,0,20.38,194374170015,1 ,
1/18/2021,Previous statement's unavailable balance,---,,,Previous Reserve Amount Balance ,0,0,0,655.74,655.74,,,
1/19/2021,Order Payment,114-8553342-3987421,,,DYMO Label Maker with 2 D1 DYMO Label Ta...,36.2,0,-10.33,0,25.87,71701003591,1 ,
1/19/2021,Service Fees,---,,,Inbound Transportation Charge,0,0,-6.86,0,-6.86,,,
1/19/2021,Service Fees,---,,,Inbound Transportation Charge,0,0,-8.87,0,-8.87,,,
1/20/2021,Order Payment,112-0573192-1206621,,,Free People North Shore Thermal White SM...,36.32,0,-11.52,0,24.8,193465682093,1 ,
1/20/2021,Order Payment,114-8405922-3628221,,,Ideology Knit Back Woven Pants Black L,57.69,0,-13.62,0,44.07,608381120067,1 ,
1/20/2021,Order Payment,111-9009396-1212250,,,Boyish Womens The Zachary Denim Distress...,41.17,0,-12.35,0,28.82,810001607722,1 ,
1/21/2021,Service Fees,---,,,Inbound Transportation Charge,0,0,-8.22,0,-8.22,,,
1/21/2021,Service Fees,---,,,Inbound Transportation Charge,0,0,-8.87,0,-8.87,,,
