Date,Transaction type,Order ID,SKU,QTY,Product Details,Total product charges,Total promotional rebates,Amazon fees,Other,Total (USD),SKU,QTY,
1/1/2021,Service Fees,---,,,Inbound Transportation Charge,0,0,-8.85,0,-8.85,,,
1/4/2021,Paid to Amazon | Seller repayment,---,,,---,0,0,0,159.09,159.09,,,
1/7/2021,Service Fees,---,,,Inbound Transportation Charge,0,0,-31.74,0,-31.74,,,
1/8/2021,Service Fees,---,,,FBA Inventory Storage Fee,0,0,-9.76,0,-9.76,,,
1/9/2021,Order Payment,112-7454857-9012257,,,Free People Womens Ribbed Trim Button Fr...,32.38,0,-19.86,7.65,20.17,194374170121,1 ,
1/10/2021,Order Payment,111-2132579-4994639,,,Free People Bright Side Thermal TOP (Mos...,34.95,0,-9.64,0,25.31,194374051758,1 ,
1/11/2021,Order Payment,113-7322533-1597840,,,DYMO Label Maker with 2 D1 DYMO Label Ta...,36.3,0,-10.35,0,25.95,71701003591,1 ,
1/11/2021,Order Payment,111-9268030-9180248,,,DYMO Label Maker with 2 D1 DYMO Label Ta...,36.3,0,-10.35,0,25.95,71701003591,1 ,
1/11/2021,Order Payment,113-4792056-8340269,,,DYMO Label Maker with 2 D1 DYMO Label Ta...,36.3,0,-10.35,0,25.95,71701003591,1 ,
1/11/2021,Order Payment,114-8331481-3819420,,,DYMO Label Maker with 2 D1 DYMO Label Ta...,36.3,0,-10.35,0,25.95,71701003591,1 ,
1/11/2021,Order Payment,114-8375680-2379440,,,DYMO Label Maker with 2 D1 DYMO Label Ta...,36.3,0,-10.35,0,25.95,71701003591,1 ,
1/11/2021,Order Payment,112-8339446-3699425,,,DYMO Label Maker with 2 D1 DYMO Label Ta...,36.3,0,-10.35,0,25.95,71701003591,1 ,
1/11/2021,Order Payment,114-0189928-6317838,,,DYMO Label Maker with 2 D1 DYMO Label Ta...,36.3,-2.99,-10.35,2.99,25.95,71701003591,1 ,
1/12/2021,Order Payment,111-8459799-1301865,,,DYMO Label Maker with 2 D1 DYMO Label Ta...,36.3,0,-10.35,0,25.95,71701003591,1 ,
1/12/2021,Order Payment,113-7145614-7624229,,,DYMO Label Maker with 2 D1 DYMO Label Ta...,36.3,0,-10.35,0,25.95,71701003591,1 ,
1/12/2021,Order Payment,114-2859363-6995420,,,DYMO Label Maker with 2 D1 DYMO Label Ta...,36.3,0,-10.35,0,25.95,71701003591,1 ,
1/12/2021,Order Payment,112-9719770-7435422,,,Free People Lennox Jumpsuit Blue MD (Wom...,148,0,-31.49,0,116.51,194374013404,1 ,
1/12/2021,Order Payment,113-9295005-1391423,,,DYMO Label Maker with 2 D1 DYMO Label Ta...,36.3,0,-10.35,0,25.95,71701003591,1 ,
1/12/2021,Order Payment,111-0000591-5224275,,,Free People Ivy Mid Rise Released Hem Sk...,45.39,0,-13.07,0,32.32,194374274324,1 ,
1/12/2021,Order Payment,114-9561102-9247466,,,DYMO Label Maker with 2 D1 DYMO Label Ta...,36.3,0,-10.35,0,25.95,71701003591,1 ,
1/13/2021,Order Payment,112-7104003-9079439,,,Ideology Women's Snap-Front Wrap Sweatsh...,17.46,0,-8.32,0,9.14,732998411840,1 ,


































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































